#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;15;5;180;3.0;-2.96293962341;-0.15296690723
0.05;15;5;180;4.0;-3.16576186969;-0.176824386712
0.05;15;10;0;0.0;-2.76751608599;-0.153534670946
0.05;15;10;0;0.5;-2.70528477363;-0.125422286577
0.05;15;10;0;1.0;-2.74383989783;-0.129227085166
0.05;15;10;0;1.5;-2.89888719096;-0.161943078969
0.05;15;10;0;2.0;-2.92589112038;-0.160840462367
0.05;15;10;0;3.0;-2.97945673785;-0.160211319379
0.05;15;10;0;4.0;-3.09547936209;-0.165412716916
0.05;15;10;45;0.0;-2.7040485529;-0.133622892373
0.05;15;10;45;0.5;-2.6693578589;-0.118971986809
0.05;15;10;45;1.0;-2.75475739992;-0.130273864033
0.05;15;10;45;1.5;-2.85526420853;-0.146547245103
0.05;15;10;45;2.0;-2.95286018794;-0.171418874621
0.05;15;10;45;3.0;-2.97537700163;-0.150103509081
0.05;15;10;45;4.0;-3.15558304595;-0.179410182176
0.05;15;10;90;0.0;-2.71628533985;-0.138552081091
0.05;15;10;90;0.5;-2.66237063142;-0.118512039286
0.05;15;10;90;1.0;-2.74249000607;-0.128248362636
0.05;15;10;90;1.5;-2.87774973231;-0.159234609306
0.05;15;10;90;2.0;-2.93797229151;-0.168593006001
0.05;15;10;90;3.0;-2.96207124863;-0.15225205997
0.05;15;10;90;4.0;-3.13644219787;-0.170678493129
0.05;15;10;125;0.0;-2.71383679575;-0.137663008807
0.05;15;10;125;0.5;-2.65541193542;-0.115620480381
0.05;15;10;125;1.0;-2.7156491364;-0.123814947655
0.05;15;10;125;1.5;-2.82535101497;-0.146665901983
0.05;15;10;125;2.0;-2.92037374387;-0.15782571179
0.05;15;10;125;3.0;-2.96385992665;-0.149939769638
0.05;15;10;125;4.0;-3.14250733766;-0.17518758059
0.05;15;10;180;0.0;-2.6640144382;-0.128079798846
0.05;15;10;180;0.5;-2.64847052727;-0.112305188769
0.05;15;10;180;1.0;-2.69729487056;-0.118120243541
0.05;15;10;180;1.5;-2.77865217563;-0.13014069494
0.05;15;10;180;2.0;-2.90658173469;-0.161440563442
0.05;15;10;180;3.0;-2.93801706444;-0.144698253802
0.05;15;10;180;4.0;-3.0898750927;-0.164738404065
0.05;15;15;0;0.0;-2.72778955809;-0.140720620853
0.05;15;15;0;0.5;-2.73652903185;-0.132249315427
0.05;15;15;0;1.0;-2.77438068161;-0.139924566358
0.05;15;15;0;1.5;-2.91621723339;-0.163618762744
0.05;15;15;0;2.0;-2.95229841805;-0.169526435285
0.05;15;15;0;3.0;-2.97429340439;-0.153726190972
0.05;15;15;0;4.0;-3.06205486422;-0.168056002519
0.05;15;15;45;0.0;-2.69668242039;-0.136235312777
0.05;15;15;45;0.5;-2.70877032643;-0.129079330421
0.05;15;15;45;1.0;-2.75664940481;-0.134869041758
0.05;15;15;45;1.5;-2.83314722673;-0.144751177359
0.05;15;15;45;2.0;-2.95015060239;-0.172944916518
0.05;15;15;45;3.0;-2.94590648971;-0.150003220589
0.05;15;15;45;4.0;-3.11510090724;-0.178345209007
0.05;15;15;90;0.0;-2.67383892956;-0.131468983051
0.05;15;15;90;0.5;-2.66885452776;-0.113623253901
0.05;15;15;90;1.0;-2.72405587543;-0.129969590632
0.05;15;15;90;1.5;-2.84247410371;-0.153308908555
0.05;15;15;90;2.0;-2.92485574538;-0.163070911309
0.05;15;15;90;3.0;-2.92655028114;-0.146700876714
0.05;15;15;90;4.0;-3.12920055758;-0.17365698497
0.05;15;15;125;0.0;-2.65941035507;-0.128207702598
0.05;15;15;125;0.5;-2.65391363002;-0.11551458549
0.05;15;15;125;1.0;-2.70306704592;-0.119652528657
0.05;15;15;125;1.5;-2.81876685782;-0.142243873916
0.05;15;15;125;2.0;-2.89431924058;-0.156351341676
0.05;15;15;125;3.0;-2.91786671073;-0.146189240746
